id|state|geometry
6|WY|MULTIPOLYGON(((-104.0573 44.9981,-104.0538 41.0009,-109.0502 41.0009,-111.0418 40.9992,-111.047 42.0019,-111.0488 44.4732,-111.0557 44.9981,-104.0573 44.9981)))
3|ID|MULTIPOLYGON(((-111.0488 44.4732,-111.047 42.0019,-114.0414 41.9933,-117.0184 42.0002,-117.0253 42.0002,-117.0324 48.9992,-116.0492 49.0009,-116.0486 47.9768,-112.7849 44.4784,-111.0488 44.4732)))
1|AZ|MULTIPOLYGON(((-109.0502 31.3331,-111.0696 31.3348,-113.3341 32.0387,-114.0501 36.8439,-114.0501 37.0003,-109.045 36.9986,-109.0502 31.3331)))
5|UT|MULTIPOLYGON(((-109.045 36.9986,-114.0501 37.0003,-114.0414 41.9933,-111.047 42.0019,-111.0418 40.9992,-109.0502 41.0009,-109.045 36.9986),(-112.7684 41.6578,-112.8879 41.663,-112.9451 41.5643,-112.9503 41.4447,-112.7632 41.1433,-112.758 41.0549,-112.6852 40.9718,-112.6177 41.0861,-112.5709 41.0809,-112.5189 40.951,-112.441 40.8314,-112.3734 40.7691,-112.363 40.6911,-112.2019 40.7535,-112.1603 40.847,-112.2071 40.8886,-112.2591 41.0497,-112.1239 41.0705,-112.3318 41.2368,-112.467 41.216,-112.5033 41.3304,-112.5657 41.4239,-112.7008 41.4707,-112.7736 41.5591,-112.7684 41.6578)))
4|NM|MULTIPOLYGON(((-103.0858 37.0003,-103.0736 32.0004,-106.6137 32.0004,-106.5285 31.7832,-108.2084 31.7836,-108.2177 31.3383,-109.0502 31.3331,-109.045 36.9986,-103.0858 37.0003)))
2|CO|MULTIPOLYGON(((-103.0858 37.0003,-109.045 36.9986,-109.0502 41.0009,-104.0538 41.0009,-102.0517 41.0027,-102.0413 36.9934,-103.0858 37.0003)))
